,131004_00,131004_01,131004_02,131004_03,131004_04,131004_05,131004_06,131004_07,131004_08,131004_09,131004_10,131004_11,131004_12,131004_13,131004_14,131004_15,131004_16,131004_17,131004_18,131004_19,131004_20,131004_21,131004_22,131004_23,131005_00,131005_01,131005_02,131005_03,131005_04,131005_05,131005_06,131005_07,131005_08,131005_09,131005_10,131005_11,131005_12,131005_13,131005_14,131005_15,131005_16,131005_17,131005_18,131005_19,131005_20,131005_21,131005_22,131005_23,131006_00,131006_01,131006_02,131006_03,131006_04,131006_05,131006_06,131006_07,131006_08,131006_09,131006_10,131006_11,131006_12,131006_13,131006_14,131006_15,131006_16,131006_17,131006_18,131006_19,131006_20,131006_21,131006_22,131006_23,131007_00,131007_01,131007_02,131007_03,131007_04,131007_05,131007_06,131007_07,131007_08,131007_09,131007_10,131007_11,131007_12,131007_13,131007_14,131007_15,131007_16,131007_17,131007_18,131007_19,131007_20,131007_21,131007_22,131007_23,131008_00,131008_01,131008_02,131008_03,131008_04,131008_05,131008_06,131008_07,131008_08,131008_09,131008_10,131008_11,131008_12,131008_13,131008_14,131008_15,131008_16,131008_17,131008_18,131008_19,131008_20,131008_21,131008_22,131008_23,131009_00,131009_01,131009_02,131009_03,131009_04,131009_05,131009_06,131009_07,131009_08,131009_09,131009_10,131009_11,131009_12,131009_13,131009_14,131009_15,131009_16,131009_17,131009_18,131009_19,131009_20,131009_21,131009_22,131009_23
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.12,0.36,0.12,0.0,0.24,0.6000000000000001,1.56,4.92,2.2800000000000002,1.92,0.6000000000000001,0.12,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.12,0.48,1.32,0.8400000000000001,2.2800000000000002,4.199999999999999,3.4799999999999995,2.52,0.96,1.6800000000000002,8.76,2.52,3.4799999999999995,1.44,2.4000000000000004,1.92,0.8400000000000001,1.32,1.08,4.68,7.32,8.040000000000001,11.76,9.959999999999999,3.84,2.88,9.36,10.68,8.52,5.64,18.0,21.96,11.040000000000001,5.4,6.36,1.56,0.8400000000000001,0.72,1.08,3.96,1.32,0.72,0.12,0.12,1.56,0.6000000000000001,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.36,0.0,0.72,0.12,0.0,0.6000000000000001,0.24,1.08,4.32,0.24,0.96,1.44,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.96,0.36,1.6800000000000002,1.32,0.96,0.96,0.8400000000000001,1.56,8.399999999999999,7.4399999999999995,0.36,5.76,2.04,0.36,1.7999999999999998,0.6000000000000001,0.96,2.64,12.48,13.32,9.0,6.84,3.96,0.6000000000000001,3.24,8.040000000000001,9.24,16.799999999999997,16.68,15.48,6.48,6.720000000000001,6.6000000000000005,4.5600000000000005,0.8400000000000001,0.36,0.6000000000000001,1.32,2.4000000000000004,1.08,0.24,0.12,0.12,0.48,0.12,0.36,0.6000000000000001,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.8400000000000001,0.0,0.12,1.6800000000000002,1.08,3.96,6.36,3.12,0.72,0.24,0.36,0.0,0.8400000000000001,0.0,0.0,0.0,0.12,0.0,0.36,0.36,1.44,0.8400000000000001,2.52,5.28,6.12,3.4799999999999995,1.56,2.2800000000000002,9.600000000000001,9.120000000000001,5.04,1.7999999999999998,5.64,2.4000000000000004,2.64,2.7600000000000002,6.12,7.5600000000000005,9.72,7.92,14.16,15.24,6.84,12.0,10.92,14.879999999999999,12.120000000000001,7.4399999999999995,14.52,25.200000000000003,7.5600000000000005,7.199999999999999,6.84,2.88,1.44,0.8400000000000001,0.8400000000000001,0.72,0.36,0.48,0.12,0.12,0.48,0.48,0.72,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.24,0.24,0.12,0.24,0.12,0.0,0.6000000000000001,1.08,0.48,0.36,0.6000000000000001,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.72,0.6000000000000001,1.2000000000000002,0.72,0.24,0.0,0.0,0.12,1.32,1.2000000000000002,6.6000000000000005,1.7999999999999998,7.199999999999999,7.4399999999999995,8.28,13.559999999999999,9.72,4.800000000000001,7.800000000000001,3.5999999999999996,1.92,2.04,4.08,3.84,3.0,2.88,8.76,20.52,31.56,28.92,17.64,8.64,7.68,7.92,3.12,1.44,0.96,2.16,1.44,0.6000000000000001,0.12,0.0,0.24,0.24,0.24,0.24,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2.16,0.36,0.24,0.0,2.4000000000000004,1.44,0.0,1.44,3.0,3.3600000000000003,19.44,1.92,0.36,1.56,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.36,1.2000000000000002,1.32,0.6000000000000001,2.16,4.08,2.64,1.32,0.6000000000000001,1.32,13.080000000000002,11.76,3.7199999999999998,2.4000000000000004,11.76,2.04,3.3600000000000003,6.24,5.64,4.199999999999999,14.16,11.399999999999999,15.72,12.48,9.84,6.12,11.28,10.68,15.120000000000001,26.64,18.240000000000002,12.600000000000001,8.16,8.52,10.32,5.88,0.8400000000000001,2.16,1.32,2.2800000000000002,0.48,0.24,0.12,0.48,0.12,0.48,0.0,0.72,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.48,0.0,1.56,0.12,0.0,0.8400000000000001,1.08,1.32,8.64,0.72,1.56,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.6000000000000001,1.2000000000000002,0.36,2.04,2.2800000000000002,2.52,1.32,0.72,2.04,9.72,10.68,2.16,3.84,6.24,1.32,3.3600000000000003,1.7999999999999998,3.12,3.4799999999999995,16.32,16.919999999999998,11.52,9.36,8.28,1.44,12.36,13.919999999999998,11.64,15.36,19.68,15.72,7.800000000000001,6.24,7.4399999999999995,5.16,0.48,0.96,1.32,1.7999999999999998,1.44,1.56,0.24,0.12,0.24,0.36,0.12,0.36,0.24,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.48,1.2000000000000002,5.16,0.6000000000000001,0.24,0.36,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.8400000000000001,0.6000000000000001,1.08,2.64,1.2000000000000002,1.92,0.24,0.24,6.24,10.56,2.04,1.2000000000000002,17.759999999999998,1.7999999999999998,3.0,7.4399999999999995,8.040000000000001,6.0,9.600000000000001,13.440000000000001,14.04,8.040000000000001,7.5600000000000005,7.68,9.600000000000001,17.16,11.28,14.76,9.600000000000001,8.040000000000001,19.56,17.28,13.440000000000001,16.68,3.4799999999999995,2.04,3.96,3.0,1.2000000000000002,1.44,0.36,0.36,0.48,0.48,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.24,0.12,0.48,0.12,0.0,0.36,0.36,3.84,6.36,0.72,1.7999999999999998,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.2000000000000002,1.7999999999999998,0.96,2.52,2.52,2.16,1.7999999999999998,1.44,3.5999999999999996,13.080000000000002,2.64,0.48,1.44,1.32,0.8400000000000001,0.72,0.96,0.36,3.24,7.199999999999999,16.56,12.24,4.199999999999999,1.44,1.7999999999999998,2.16,1.32,5.28,18.72,38.28,35.160000000000004,27.240000000000002,16.919999999999998,18.48,8.52,0.8400000000000001,0.24,1.08,1.6800000000000002,1.2000000000000002,0.24,0.12,0.12,0.12,0.48,0.12,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,1.08,0.12,0.12,0.6000000000000001,0.72,4.5600000000000005,4.4399999999999995,0.48,0.12,0.12,0.12,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.6000000000000001,0.36,0.96,5.04,5.28,2.88,0.36,0.72,5.16,13.919999999999998,4.92,0.8400000000000001,9.72,6.24,2.2800000000000002,7.5600000000000005,13.32,4.4399999999999995,5.04,12.0,12.72,15.24,11.76,15.84,4.199999999999999,4.08,12.36,20.759999999999998,16.32,9.0,8.16,8.52,9.48,5.28,1.32,2.16,1.92,1.2000000000000002,0.96,0.72,0.12,0.12,0.8400000000000001,0.96,0.36,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.12,0.24,0.0,0.24,0.0,0.0,0.24,1.56,1.32,2.04,0.12,0.6000000000000001,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.72,1.32,1.08,0.48,0.96,1.44,0.36,0.6000000000000001,0.6000000000000001,2.2800000000000002,9.48,4.4399999999999995,0.12,3.12,1.7999999999999998,0.0,1.6800000000000002,0.6000000000000001,0.72,2.16,10.32,5.28,3.84,2.16,1.32,0.12,0.96,1.32,5.4,9.600000000000001,10.56,9.600000000000001,6.720000000000001,16.44,16.44,12.36,5.16,2.04,1.32,2.4000000000000004,1.7999999999999998,1.7999999999999998,0.72,0.12,0.12,0.24,0.24,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
